Long_Name,Short_Description,Long_Description,Data_Source
Bicycle_Friendliness_2011,Index measuring the transportation network's ability to comfortably support cycling,The index is calculated using the following formula: (Low Speed Street Miles + Bike Lane Miles + Completed Greenways/Multi-use Path Miles) divided by (Total Street Mileage + Total Completed and Proposed Greenways/Multiuse Path Mileage). The result is a score between 1 and 3 with 1 being least bicycle friendly and 3 being most bicycle friendly. Low speed streets are streets with a speed limit of 25mph or less. Unpaved paths without a surface intended to support most bicycles are not included.,"Charlotte Department of Transportation, 2012"
Street_Connectivity_2018,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2018"
Street_Connectivity_2017,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2017"
Street_Connectivity_2016,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2016"
Street_Connectivity_2015,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2015"
Street_Connectivity_2013,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2014"
Street_Connectivity_2011,Index measuring the connectedness of the street network,"The index is calculated using the following formula: The total number of street links (roadways or bike pathways) divided by the number of nodes (cul-de-sacs, endpoints, and intersections). Values range from 1 to 2, where 2 is perfect connectivity.","Charlotte Department of Transportation, 2012"
Sidewalk_Availability_2015,Percentage of paved streets that have sidewalks,"The length of paved street with sidewalk on at least one side, divided by the total length of paved streets.",Mecklenburg County Land Use & Environmental Services Agency; Charlotte Department of Transportation; Towns of Davidson and Huntersville; 2015
Sidewalk_Miles_2015,Length of paved streets that have sidewalks (Miles),The length of paved street with sidewalk on at least one side. Sidewalks not adjacent to public streets and unpaved walking trails are not included. This measure does not account for physical obstructions that would impair an individual's ability to access the location or amenity. The quality of the sidewalk is also not assessed.,"Mecklenburg County Land Use & Environmental Services Agency; Charlotte Department of Transportation; Towns of Davidson, and Huntersville; 2015"
Transit_Proximity_2018,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2018; Mecklenburg County Tax Parcels, 2018"
Transit_Proximate_Units_2018,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2018; Mecklenburg County Tax Parcels, 2018"
Transit_Proximity_2017,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2017; Mecklenburg County Tax Parcels, 2017"
Transit_Proximate_Units_2017,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2017; Mecklenburg County Tax Parcels, 2017"
Transit_Proximity_2016,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2016; Mecklenburg County Tax Parcels, 2016"
Transit_Proximate_Units_2016,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2016; Mecklenburg County Tax Parcels, 2016"
Transit_Proximity_2015,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2015; Mecklenburg County Tax Parcels, 2015"
Transit_Proximate_Units_2015,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2015; Mecklenburg County Tax Parcels, 2015"
Transit_Proximity_2013,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2013; Mecklenburg County Tax Parcels, 2013"
Transit_Proximate_Units_2013,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2013; Mecklenburg County Tax Parcels, 2013"
Transit_Proximity_2011,Percentage of housing units within ½-mile of a transit stop,"Number of housing units within ½-mile of a transit stop, divided by total number of housing units.","Charlotte Area Transit System, 2011; Mecklenburg County Tax Parcels, 2011"
Transit_Proximate_Units_2011,Number of housing units within ½-mile of a transit stop,Number of housing units within ½-mile of a transit stop,"Charlotte Area Transit System, 2011; Mecklenburg County Tax Parcels, 2011"
Transit_Ridership_2015,Average weekly bus and train boardings per stop,"Total bus and rail boardings, divided by the number of stops inside each area, divided by 52 weeks in a year.","Charlotte Area Transit System, July 1, 2012-June 30, 2015"
Transit_Ridership_Total_2015,Average weekly bus and train boardings,"Total number of bus and rail boardings, divided by 52 weeks in a year.","Charlotte Area Transit System, July 1, 2012-June 30, 2015"
Transit_Ridership_2014,Average weekly bus and train boardings per stop,"Total bus and rail boardings, divided by the number of stops inside each area, divided by 52 weeks in a year.","Charlotte Area Transit System, July 1, 2012-June 30, 2014"
Transit_Ridership_Total_2014,Average weekly bus and train boardings,"Total number of bus and rail boardings, divided by 52 weeks in a year.","Charlotte Area Transit System, July 1, 2012-June 30, 2014"
Transit_Ridership_2013,Average weekly bus and train boardings per stop,"Total bus and rail boardings, divided by the number of stops inside each area, divided by 52 weeks in a year.","Charlotte Area Transit System, July 1, 2012-June 30, 2013"
Transit_Ridership_Total_2013,Average weekly bus and train boardings,"Total number of bus and rail boardings, divided by 52 weeks in a year.","Charlotte Area Transit System, July 1, 2012-June 30, 2013"
